D_rate	nZeros	maxflux	minflux	meanflux	medianflux	stddev	fermentation	glyc_meanFlux	oxPhos_meanFlux	TCA_meanFlux	PPP_meanFlux
0.345	112	22.4932287802858	1.57696364031512e-05	4.73820174005808	1.17539115315938	5.86309379936605	1	10.1531713743987	15.213055710417	1.02389346736129	0.392846301274158
0.35	112	21.8095645903915	1.64535762046114e-05	4.82760515679346	1.1097373318489	5.93454269712874	1	10.6426054606617	14.7566829829215	0.975125843226425	0.401317503708083
0.355	112	21.1301463712393	1.71334423200165e-05	4.91644169508646	1.04443734143359	6.01978335924604	1	11.1289646853281	14.3031548433211	0.926630397956679	0.409788706142008
0.36	112	20.4549741228294	1.78092347756786e-05	5.00471135493705	0.979491181913476	6.11795578660903	1	11.6122490483978	13.8524712916158	0.878407131552056	0.418259908575933
0.365	112	19.7840478451619	1.84809534415908e-05	5.09241413634527	0.914898853288561	6.22817176527828	1	12.0924585498709	13.4046323278057	0.830456044012595	0.426731111009858
0.37	112	19.2439916431623	1.91485984575301e-05	5.1795500393111	0.850660355558826	6.34953449652161	1	12.5695931897475	12.9596379518906	0.782777135338244	0.435202313443783
0.375	112	19.2738512990977	1.98121697798648e-05	5.26611906383455	0.786775688724275	6.48115536507883	1	13.0436529680274	12.5174881638706	0.735370405529018	0.443673515877708
0.38	112	19.3047724477186	2.04716673662952e-05	5.35212120991562	0.75004775176886	6.62216755617877	1	13.5146378847108	12.0781829637457	0.688235854584933	0.452144718311633
0.385	112	19.3367550890251	2.11270913347272e-05	5.43755647755428	0.7594044239625	6.77173652696764	1	13.9825479397975	11.6417223515158	0.641373482505947	0.460615920745558
0.39	112	19.3697992230171	2.17784416235434e-05	5.52242486675056	0.769785082453448	6.92906755057227	1	14.4473831332877	11.208106327181	0.594783289292082	0.469087123179483
0.395	112	19.5436517970491	2.24257181917764e-05	5.60672637750445	0.779653753906304	7.09341068227565	1	14.9091434651811	10.7773348907413	0.548465274943357	0.477558325613408
0.4	112	20.0095773968695	2.30689209950175e-05	5.69046100981597	0.789522429432924	7.26406355944193	1	15.367828935478	10.3494080421968	0.502419439459784	0.486029528047333
