D_rate	nZeros	maxUsage	minUsage	meanUsage	medianUsage	stddev	fermentation	glyc_meanUsage	oxPhos_meanUsage	TCA_meanUsage	PPP_meanUsage	ana_meanUsage	glyc_burden	oxPhos_burden	TCA_burden	PPP_burden	ana_burden
0.315	48	0.003711688	3.952e-06	0.000481014582278481	0.000303202	0.000579987527110638	1	0.0007517084	0.000526658564102564	0.000304508615384615	0.000150626571428571	0.000693360666666667	0.007517084	0.020539684	0.003958612	0.001054386	0.002080082
0.32	48	0.003977574	4.256e-06	0.000481013139240506	0.000295146	0.000599305272006802	1	0.0008053606	0.000512684307692308	0.000293263538461538	0.000154252857142857	0.000760316666666667	0.008053606	0.019994688	0.003812426	0.00107977	0.00228095
0.325	48	0.004241864	4.522e-06	0.000481012658227848	0.000287128	0.00062090749143481	1	0.000858686	0.00049879482051282	0.000282088615384615	0.000157879142857143	0.00082688	0.00858686	0.019452998	0.003667152	0.001105154	0.00248064
0.33	48	0.00450452	4.826e-06	0.000481010734177215	0.000279186	0.000644509668943102	1	0.0009116884	0.000484986205128205	0.000270963384615385	0.000161505428571429	0.000893012666666667	0.009116884	0.018914462	0.003522524	0.001130538	0.002679038
0.335	48	0.00476558	5.092e-06	0.000481012658227848	0.000272916	0.000669854362298577	1	0.0009643602	0.000471268205128205	0.000259911230769231	0.000165120857142857	0.00095874	0.009643602	0.01837946	0.003378846	0.001155846	0.00287622
0.34	47	0.005025044	3.8e-08	0.000475	0.000264328	0.000694363415442819	1	0.0010167052	0.000457634	0.000248905846153846	0.000168752571428571	0.001024024	0.010167052	0.017847726	0.003235776	0.001181268	0.003072072
0.345	47	0.005282874	3.8e-08	0.00047499905	0.00025802	0.000722239197136098	1	0.001068731	0.000444077743589744	0.000237970615384615	0.000172373428571429	0.00108891533333333	0.01068731	0.017319032	0.003093618	0.001206614	0.003266746
0.35	47	0.005539108	3.8e-08	0.000475001425	0.000259901	0.000751212675414636	1	0.0011204338	0.000430610153846154	0.000227096769230769	0.000176005142857143	0.00115338866666667	0.011204338	0.016793796	0.002952258	0.001232036	0.003460166
0.355	47	0.005793708	3.8e-08	0.000474999525	0.000258704	0.000781119750750667	1	0.0011718022	0.000417222461538461	0.000216275538461538	0.000179631428571429	0.001217444	0.011718022	0.016271676	0.002811582	0.00125742	0.003652332
0.36	47	0.006046712	3.8e-08	0.00047500095	0.000252681	0.000811816651849074	1	0.0012228514	0.000403920512820513	0.000205533230769231	0.000183252285714286	0.00128106866666667	0.012228514	0.0157529	0.002671932	0.001282766	0.003843206
0.365	47	0.006298082	3.8e-08	0.000475000475	0.000244473	0.000843178725838393	1	0.0012735776	0.000390701384615385	0.000194831846153846	0.000186884	0.00134427533333333	0.012735776	0.015237354	0.002532814	0.001308188	0.004032826
0.37	47	0.006547856	3.8e-08	0.00047500095	0.000236303	0.000875101302396123	1	0.001323977	0.000377568974358974	0.000184203538461538	0.000190504857142857	0.00140707666666667	0.01323977	0.01472519	0.002394646	0.001333534	0.00422123
0.375	47	0.006795996	3.8e-08	0.00047500095	0.000228209	0.000907486380761911	1	0.0013740458	0.000364516461538462	0.000173636615384615	0.000194125714285714	0.00146946	0.013740458	0.014216142	0.002257276	0.00135888	0.00440838
0.38	47	0.00704254	3.8e-08	0.000475	0.000227449	0.000940253669825464	1	0.0014237916	0.000351545794871795	0.000163128153846154	0.000197757428571429	0.00153142533333333	0.014237916	0.013710286	0.002120666	0.001384302	0.004594276
0.385	46	0.007287488	3.8e-08	0.000469138148148148	0.000222528	0.000968672009180186	1	0.0014732144	0.000338663794871795	0.000152684	0.000201389142857143	0.00159297266666667	0.014732144	0.013207888	0.001984892	0.001409724	0.004778918
0.39	46	0.007530802	3.8e-08	0.00046913674074074	0.000214092	0.00100174652953137	1	0.0015223104	0.000325860717948718	0.000142295384615385	0.000205015428571429	0.001654102	0.015223104	0.012708568	0.00184984	0.001435108	0.004962306
0.395	46	0.00777252	3.8e-08	0.000469135802469136	0.000205732	0.00103502038742498	1	0.0015710796	0.000313146307692308	0.000131971076923077	0.000208630857142857	0.00171480066666667	0.015710796	0.012212706	0.001715624	0.001460416	0.005144402
0.4	46	0.008012604	3.8e-08	0.000469136740740741	0.00019741	0.0010684445611875	1	0.0016195296	0.000300511794871795	0.000121705230769231	0.000212257142857143	0.001775094	0.016195296	0.01171996	0.001582168	0.0014858	0.005325282
