D_rate	nZeros	maxUsage	minUsage	meanUsage	medianUsage	stddev	fermentation	glyc_meanUsage	oxPhos_meanUsage	TCA_meanUsage	PPP_meanUsage	ana_meanUsage	glyc_burden	oxPhos_burden	TCA_burden	PPP_burden	ana_burden
0.29	48	0.062054	6.6e-05	0.0126582025316456	0.008649	0.0138889319025745	1	0.0125942	0.0157306923076923	0.009517	0.00348671428571429	0.00926933333333333	0.125942	0.613497	0.123721	0.024407	0.027808
0.295	48	0.069263	7.4e-05	0.0126582658227848	0.008441	0.0139848294863315	1	0.0140489	0.0153520769230769	0.00921323076923077	0.00358228571428571	0.0110866666666667	0.140489	0.598731	0.119772	0.025076	0.03326
0.3	48	0.07643	8.2e-05	0.0126582151898734	0.008233	0.014176251457144	1	0.015495	0.0149755641025641	0.00891076923076923	0.00367757142857143	0.012893	0.15495	0.584047	0.11584	0.025743	0.038679
0.305	48	0.083554	8.9e-05	0.0126582025316456	0.008082	0.0144576854908843	1	0.0169324	0.0146013333333333	0.00861	0.003773	0.0146883333333333	0.169324	0.569452	0.11193	0.026411	0.044065
0.31	48	0.090636	9.7e-05	0.0126582405063291	0.007876	0.0148223450592948	1	0.0183614	0.0142292564102564	0.008311	0.00386828571428571	0.016473	0.183614	0.554941	0.108043	0.027078	0.049419
0.315	48	0.097676	0.000104	0.0126582784810127	0.007979	0.0152628296608063	1	0.0197818	0.0138594358974359	0.00801338461538461	0.00396385714285714	0.0182463333333333	0.197818	0.540518	0.104174	0.027747	0.054739
0.32	48	0.104673	0.000112	0.0126582405063291	0.007767	0.0157711913686001	1	0.0211937	0.0134916923076923	0.00771746153846154	0.00405928571428571	0.0200083333333333	0.211937	0.526176	0.100327	0.028415	0.060025
0.325	48	0.111628	0.000119	0.0126582278481013	0.007556	0.0163396708272318	1	0.022597	0.0131261794871795	0.00742338461538462	0.00415471428571429	0.02176	0.22597	0.511921	0.096504	0.029083	0.06528
0.33	48	0.11854	0.000127	0.0126581772151899	0.007347	0.0169607807616606	1	0.0239918	0.0127627948717949	0.00713061538461538	0.00425014285714286	0.0235003333333333	0.239918	0.497749	0.092698	0.029751	0.070501
0.335	48	0.12541	0.000134	0.0126582278481013	0.007182	0.0176277463762783	1	0.0253779	0.0124017948717949	0.00683976923076923	0.00434528571428571	0.02523	0.253779	0.48367	0.088917	0.030417	0.07569
0.34	47	0.132238	1e-06	0.0125	0.006956	0.0182727214590216	1	0.0267554	0.012043	0.00655015384615385	0.00444085714285714	0.026948	0.267554	0.469677	0.085152	0.031086	0.080844
0.345	47	0.139023	1e-06	0.012499975	0.00679	0.0190062946614763	1	0.0281245	0.0116862564102564	0.00626238461538462	0.00453614285714286	0.0286556666666667	0.281245	0.455764	0.081411	0.031753	0.085967
0.35	47	0.145766	1e-06	0.0125000375	0.0068395	0.0197687546161746	1	0.0294851	0.0113318461538462	0.00597623076923077	0.00463171428571429	0.0303523333333333	0.294851	0.441942	0.077691	0.032422	0.091057
0.355	47	0.152466	1e-06	0.0124999875	0.006808	0.0205557829144912	1	0.0308369	0.0109795384615385	0.00569146153846154	0.00472714285714286	0.032038	0.308369	0.428202	0.073989	0.03309	0.096114
0.36	47	0.159124	1e-06	0.012500025	0.0066495	0.0213635961012914	1	0.0321803	0.0106294871794872	0.00540876923076923	0.00482242857142857	0.0337123333333333	0.321803	0.41455	0.070314	0.033757	0.101137
0.365	47	0.165739	1e-06	0.0125000125	0.0064335	0.0221889138378524	1	0.0335152	0.0102816153846154	0.00512715384615385	0.004918	0.0353756666666667	0.335152	0.400983	0.066653	0.034426	0.106127
0.37	47	0.172312	1e-06	0.012500025	0.0062185	0.0230289816420032	1	0.0348415	0.00993602564102564	0.00484746153846154	0.00501328571428571	0.0370283333333333	0.348415	0.387505	0.063017	0.035093	0.111085
0.375	47	0.178842	1e-06	0.012500025	0.0060055	0.0238812205463661	1	0.0361591	0.00959253846153846	0.00456938461538462	0.00510857142857143	0.03867	0.361591	0.374109	0.059402	0.03576	0.11601
0.38	47	0.18533	1e-06	0.0125	0.0059855	0.0247435176269859	1	0.0374682	0.00925120512820513	0.00429284615384615	0.00520414285714286	0.0403006666666667	0.374682	0.360797	0.055807	0.036429	0.120902
0.385	46	0.191776	1e-06	0.0123457407407407	0.005856	0.0254913686626365	1	0.0387688	0.00891220512820513	0.004018	0.00529971428571429	0.0419203333333333	0.387688	0.347576	0.052234	0.037098	0.125761
0.39	46	0.198179	1e-06	0.0123457037037037	0.005634	0.0263617507771413	1	0.0400608	0.00857528205128205	0.00374461538461538	0.00539514285714286	0.043529	0.400608	0.334436	0.04868	0.037766	0.130587
0.395	46	0.20454	1e-06	0.0123456790123457	0.005414	0.0272373786164469	1	0.0413442	0.00824069230769231	0.00347292307692308	0.00549028571428571	0.0451263333333333	0.413442	0.321387	0.045148	0.038432	0.135379
0.4	46	0.210858	1e-06	0.0123457037037037	0.005195	0.0281169621365131	1	0.0426192	0.00790820512820513	0.00320276923076923	0.00558571428571429	0.046713	0.426192	0.30842	0.041636	0.0391	0.140139
