GeneID	REF
Table S3. Quantitative proteome abundances in yeast under ten environmental conditions. For the description of conditions, please refer to Figure 1A in the main text.	NaN
	NaN
Gene ID	NaN
	NaN
YGR116W	160.7589778
YGR117C	NaN
YGR119C	595.7271859
YGR124W	2878.212964
YGR128C	156.9249129
YGR130C	570.2831503
YGR132C	8017.344888
YGR135W	3913.268741
YGR136W	1260.704463
YGR140W	NaN
YGR144W	NaN
YGR147C	138.2779171
YGR148C	55.40837967
YGR155W	9294.741523
YGR156W	617.4665977
YGR159C	137.5359355
YGR161C	NaN
YGR162W	393.8905458
YGR163W	1236.993795
YGR165W	369.738597
YGR167W	415.548798
YGR169C-A	427.1859441
YGR173W	112.7968057
YGR175C	6539.180426
YGR180C	9204.89962
YGR181W	243.0251288
YGR185C	4785.05269
YGR187C	1555.382925
YGR189C	40.88581002
YGR192C	123088.4763
YGR193C	1286.015201
YGR194C	474.1209602
YGR195W	348.2527214
YGR199W	NaN
YGR201C	NaN
YGR202C	225.1986281
YGR204W	4377.966026
YGR205W	1890.157232
YGR207C	3569.307239
YGR208W	901.1123529
YGR209C	758.3155882
YGR210C	319.5054626
YGR211W	942.1817907
YGR214W	86169.08386
YGR215W	80.21787793
YGR218W	927.9240636
YGR220C	25.31661511
YGR222W	164.3992999
YGR223C	NaN
YGR229C	72.46037421
YGR231C	2436.879965
YGR232W	44.07689956
YGR234W	51202.22744
YGR235C	460.9898761
YGR240C	9610.397859
YGR244C	2763.182132
YGR245C	41.15455404
YGR250C	366.5811648
YGR251W	NaN
YGR252W	44.65239776
YGR253C	1429.383851
YGR254W	86651.92536
YGR261C	71.53632023
YGR262C	427.8821432
YGR264C	1257.354387
YGR266W	110.5741197
YGR267C	998.7417183
YGR270W	NaN
YGR271C-A	266.1723306
YGR271W	NaN
YGR276C	NaN
YGR277C	474.9792578
YGR279C	683.1804029
YGR282C	33860.50065
YGR284C	NaN
YGR285C	2360.361187
YHL003C	NaN
YHL004W	1208.294262
YHL011C	4880.853295
YHL013C	76.04892532
YHL014C	200.0281632
YHL015W	24939.94066
YHL021C	5242.932955
YHL024W	NaN
YHL029C	108.0494956
YHL030W	103.3190291
YHL033C	1880.469466
YHL034C	5578.505389
YHL038C	174.0819052
YHL039W	254.3780337
YHR001W	519.2028265
YHR002W	NaN
YHR003C	NaN
YHR005C	417.3893018
YHR005C-A	3206.023768
YHR007C	5295.65499
YHR008C	38663.77404
YHR009C	438.7484718
YHR012W	344.1838792
YHR013C	1989.317183
YHR018C	9816.240479
YHR019C	5594.296161
YHR020W	1873.803749
YHR024C	208.6849816
YHR025W	343.4130371
YHR027C	4704.190232
YHR028C	359.8321655
YHR029C	3557.05052
YHR030C	176.4555378
YHR034C	381.9288121
YHR037W	1880.077762
YHR038W	1103.013418
YHR039C	247.7810825
YHR041C	362.6719839
YHR042W	213.0173725
YHR046C	184.5013958
YHR047C	1297.668531
YHR049W	501.3249641
YHR051W	8659.838994
YHR052W	326.51678
YHR058C	NaN
YHR059W	NaN
YHR062C	76.45781077
YHR063C	388.0483924
YHR064C	14597.30416
YHR065C	125.0824323
YHR068W	930.219148
YHR070W	151.7662114
YHR072W	140.8458176
YHR072W-A	72.80656298
YHR074W	1583.24322
YHR076W	121.384882
YHR077C	99.48324153
YHR083W	21.5528866
YHR085W	112.3337942
YHR087W	5263.326626
YHR089C	3223.922401
YHR091C	NaN
YHR098C	352.2749273
YHR099W	NaN
YHR100C	100.5158827
YHR102W	NaN
YHR104W	1871.732023
YHR105W	NaN
YHR106W	369.28836
YHR107C	1693.046452
YHR108W	30.21863886
YHR109W	123.7181118
YHR110W	231.3125182
YHR112C	365.4974131
YHR113W	3517.125704
YHR114W	186.8777521
YHR117W	256.7358588
YHR121W	1212.679385
YHR122W	NaN
YHR127W	879.139261
YHR128W	1252.231021
YHR135C	NaN
YHR137W	1310.387127
YHR138C	NaN
YHR143W-A	NaN
YHR144C	NaN
YHR146W	658.6430022
YHR147C	1070.239562
YHR148W	168.5217848
YHR154W	5.232464367
YHR158C	110.5841499
YHR161C	574.9866785
YHR163W	2778.275954
YHR165C	NaN
YHR170W	814.5437609
YHR171W	151.9123008
YHR176W	NaN
YHR179W	7066.203953
YHR187W	74.54844303
YHR188C	186.7926833
YHR190W	1722.877399
YHR192W	418.0947041
YHR193C	11601.18214
YHR195W	NaN
YHR196W	214.3489128
YHR197W	220.8521382
YHR198C	84.92934992
YHR199C	139.8183523
YHR200W	12070.22346
YHR201C	1512.104876
YHR205W	150.1120754
YHR206W	NaN
YHR207C	NaN
YHR208W	9382.375659
YIL001W	NaN
YIL005W	64.53954063
YIL007C	679.8974155
YIL008W	NaN
YIL010W	178.1592187
YIL015W	173.9806484
YIL016W	586.3087913
YIL020C	353.9208078
YIL021W	1177.934989
YIL022W	549.1707507
YIL026C	NaN
YIL027C	33.95322943
YIL030C	170.6999365
YIL033C	1787.105089
YIL034C	274.8953093
YIL035C	53.20095455
YIL039W	NaN
YIL041W	9157.538118
YIL042C	309.4490368
YIL043C	5579.193466
YIL044C	119.0310805
YIL051C	5780.093408
YIL052C	18893.68237
YIL053W	3218.184599
YIL063C	71.05473518
YIL065C	346.0543584
YIL068C	64.08094479
YIL070C	2568.780656
YIL074C	934.5372614
YIL075C	1141.283161
YIL076W	1980.472048
YIL078W	1437.585328
YIL083C	562.615804
YIL091C	30.84735681
YIL093C	459.7435966
YIL094C	2137.601536
YIL096C	NaN
YIL097W	NaN
YIL098C	366.6419597
YIL105C	137.4154268
YIL109C	699.8190371
YIL110W	248.340351
YIL115C	148.1038343
YIL116W	1201.457391
YIL118W	1582.07722
YIL124W	2646.057332
YIL125W	8159.049216
YIL126W	18.34608553
YIL127C	55.42698678
YIL128W	197.6645765
YIL129C	NaN
YIL133C	7641.375767
YIL136W	4536.259359
YIL137C	378.0865085
YIL138C	NaN
YIL142W	3077.828832
YIL145C	780.4730838
YIL153W	NaN
YIL155C	4101.922598
YIL157C	500.4688489
YIR001C	95.62212943
YIR004W	327.0518881
YIR008C	NaN
YIR012W	738.5233824
YIR022W	96.38654511
YIR024C	NaN
YIR026C	180.1851813
YIR035C	853.7725799
YIR036C	2824.304285
YIR038C	3272.879217
YJL001W	1094.350031
YJL002C	576.44094
YJL006C	NaN
YJL008C	3889.962777
YJL010C	218.7468979
YJL011C	24.9388715
YJL012C	90.35565116
YJL014W	2257.614146
YJL020C	719.9410648
YJL026W	27424.84662
YJL029C	95.45442285
YJL030W	191.2541447
YJL031C	56.48672826
YJL033W	117.6595237
YJL034W	3474.100813
YJL039C	85.68041601
YJL041W	249.5771858
YJL042W	28.36092251
YJL049W	47.98519515
YJL050W	96.79569708
YJL052W	2472.889205
YJL053W	97.50982864
YJL060W	1063.633525
YJL063C	313.3194608
YJL066C	2146.567794
YJL069C	28.76441049
YJL071W	150.8426078
YJL074C	41.16499703
YJL076W	169.819421
YJL080C	1727.651372
YJL082W	247.2849503
YJL085W	NaN
YJL088W	21600.93979
YJL096W	1114.191386
YJL101C	227.2022271
YJL104W	432.6304399
YJL109C	426.3926614
YJL111W	861.4771435
YJL112W	163.8327978
YJL115W	1540.241342
YJL117W	2807.537192
YJL121C	1720.358257
YJL123C	1501.23329
YJL125C	42.75684654
YJL126W	NaN
YJL128C	58.62883511
YJL130C	6863.608262
YJL140W	1112.566543
YJL145W	64.36582247
YJL148W	112.3124757
YJL154C	NaN
YJL155C	448.9080578
YJL158C	349.9171012
YJL165C	44.12624392
YJL167W	10994.38673
YJL171C	2325.938967
YJL172W	564.6971385
YJL173C	NaN
YJL177W	2359.768899
YJL178C	249.9981638
YJL179W	304.5193933
YJL180C	274.493596
YJL183W	620.3118953
YJL186W	855.1444463
YJL192C	357.9952682
YJL197W	83.69547399
YJL200C	1318.836775
YJL201W	NaN
YJL203W	716.0103232
YJL204C	NaN
YJL207C	NaN
YJL208C	707.3392367
YJL213W	4.493145711
YJL217W	2839.002154
YJR002W	44.27482565
YJR003C	24.22041278
YJR007W	3560.009109
YJR009C	4318.860797
YJR010W	10842.34919
YJR014W	350.0736974
YJR016C	8700.521811
YJR017C	473.3716855
YJR019C	1077.001797
YJR022W	92.41867398
YJR024C	447.8084343
YJR025C	91.13245166
YJR031C	22.68268429
YJR042W	166.7360677
YJR046W	19.05082346
YJR048W	4527.913924
YJR051W	217.7171931
YJR057W	381.2507104
YJR058C	NaN
YJR064W	1461.382145
YJR065C	2442.268223
YJR066W	NaN
YJR068W	283.5079736
YJR069C	1681.558215
YJR070C	3866.748383
YJR072C	282.1345301
YJR073C	4500.924525
YJR075W	832.9583219
YJR076C	1185.686429
YJR077C	31959.30004
YJR078W	22.31559073
YJR084W	119.0733687
YJR088C	1349.962553
YJR096W	624.6517729
YJR099W	2128.48053
YJR101W	1344.257819
YJR104C	41354.34836
YJR105W	11017.0198
YJR109C	13200.58452
YJR111C	284.1403243
YJR117W	1020.267634
YJR118C	NaN
YJR121W	103118.9625
YJR122W	22.0064013
YJR123W	10062.95298
YJR125C	633.5726605
YJR129C	56.42922657
YJR130C	61.96666384
YJR133W	1345.501427
YJR135C	NaN
YJR135W-A	NaN
YJR137C	5696.689754
YJR139C	17003.26574
YJR142W	210.5309088
YJR143C	402.0829865
YJR144W	1639.629516
YJR148W	3668.572195
YKL001C	13059.04021
YKL003C	NaN
YKL007W	5373.853418
YKL009W	744.1119455
YKL013C	NaN
YKL014C	NaN
YKL016C	10888.38837
YKL017C	NaN
YKL019W	162.7468955
YKL022C	NaN
YKL023W	311.6963101
YKL024C	1980.163721
YKL025C	NaN
YKL027W	621.0649709
YKL029C	586.1018166
YKL032C	192.5980927
YKL033W-A	1035.906862
YKL035W	5690.480929
YKL039W	441.8991452
YKL040C	540.324778
YKL047W	62.91326143
YKL054C	309.6533278
YKL056C	24901.10773
YKL057C	68.51881313
YKL060C	101205.5168
YKL063C	34.84520109
YKL064W	215.4500934
YKL067W	18824.80801
YKL068W	196.7424472
YKL073W	138.1001207
YKL074C	NaN
